"BZM","Bathyraja macloviana"
"BZS","Bathyraja scaphiops"
"BHY","Bathyraja spp"
"RAY","Arhynchobatis asperrimus"
"CJA","Cruriraja atlantis"
"CJD","Cruriraja durbanensis"
"CJP","Cruriraja parcomaculata"
"CJY","Cruriraja poeyi"
"CJT","Cruriraja triangularis"
"RGA","Gurgesiella atlantica"
"RGS","Gurgesiella sibogae"
"RIW","Irolita waitii"
"RJP","Malacoraja spinacidermis"
"RJS","Malacoraja senta"
"JFT","Malacoraja kreffti"
"RNA","Neoraja africana"
"RNS","Neoraja stehmanni"
"RNO","Notoraja ochroderma"
"RNU","Notoraja subtilispinosa"
"RNT","Notoraja tobitukai"
"PJA","Pavoraja alleni"
"PJS","Pavoraja asperula"
"PJX","Pavoraja laxipella"
"PJN","Pavoraja nitida"
"PJF","Pavoraja spinifera"
"RHK","Rhinoraja kujiensis"
"RHJ","Rhinoraja longicauda"
"RHE","Rhinoraja odai"
"DPQ","Dipturus innominatus"
"DPV","Dipturus chilensis"
"ZRN","Zearaja nasuta"
"RRW","Rioraja agassizi"
"QMB","Psammobatis bergi"
"QMT","Psammobatis normani"
"XMB","Psammobatis spp"
"YBQ","Sympterygia bonapartii"
"YAW","Sympterygia acuta"
"BVA","Breviraja atripinna"
"BVC","Breviraja caerulea"
"BVO","Breviraja colesi"
"BVU","Breviraja cubensis"
"BVS","Breviraja spinosa"
"JRE","Rajella barnardi"
"RAJ","Rajidae"
"WST","Dasyatis akajei"
"RDA","Dasyatis americana"
"RDN","Dasyatis annotata"
"RDB","Dasyatis bennetti"
"RDR","Dasyatis brevicaudata"
"RDV","Dasyatis brevis"
"RDC","Dasyatis centroura"
"RDH","Dasyatis chrysonota"
"RDD","Dasyatis dipterura"
"RDF","Dasyatis fluviorum"
"RDG","Dasyatis garouaensis"
"RDJ","Dasyatis geijskesi"
"RDI","Dasyatis giganteus"
"RDU","Dasyatis guttata"
"RDK","Dasyatis kuhlii"
"PLS","Dasyatis violacea"
"RDO","Dasyatis laosensis"
"RDT","Dasyatis latus"
"RDY","Dasyatis leylandi"
"RDL","Dasyatis longa"
"RDS","Dasyatis margarita"
"RDE","Dasyatis margaritella"
"RDQ","Dasyatis marmorata"
"JDM","Dasyatis matsubarai"
"RDP","Dasyatis microps"
